,Date,Month,Team1Site,Team2Site,Team1,Team1_Win_Precentage,Final1,Open1,Close1,ML1,Team1_Conf,Team1_AP_Rank,Team1_W,Team1_L,Team1_OSRS,Team1_DSRS,Team1_SRS,Team1_ScoringOff,Team1_ScoringDef,Team1_PassingOff,Team1_PassingDef,Team1_RushingOff,Team1_RushingDef,Team1_TotalOff,Team1_TotalDef,Team2,Team2_Win_Precentage,Final2,Open2,Close2,ML2,Team2_Conf,Team2_AP_Rank,Team2_W,Team2_L,Team2_OSRS,Team2_DSRS,Team2_SRS,Team2_ScoringOff,Team2_ScoringDef,Team2_PassingOff,Team2_PassingDef,Team2_RushingOff,Team2_RushingDef,Team2_TotalOff,Team2_TotalDef,Team1_Win,Total_Open,Total_Close,Spread_Open,Spread_Close,Team1_Point_Dif,Team1Cover,Over_Under
2850,10/12/2013,10,H,V,Wyoming,0.4166666666666667,38,10.0,12.5,-515,MWC ,67.0,5.0,7.0,-1.42,-7.95,-9.36,26.45,37.36,-2.38,17.6,1.04,9.23,0.08,12.36,NewMexico,0.25,31,68.0,70.0,390,MWC ,67.0,3.0,9.0,0.33,-14.44,-14.1,29.47,43.82,-1.86,18.38,1.97,10.5,0.31,13.46,1,68.0,70.0,-10.0,-12.5,7,0,U
2851,10/12/2013,10,H,V,Utah,0.4166666666666667,27,55.0,52.5,255,Pac-12 ,67.0,5.0,7.0,4.51,2.45,6.96,36.74,20.16,-1.09,15.45,0.1,7.9,-0.09,11.11,Stanford,0.7857142857142857,21,10.0,7.5,-315,Pac-12 ,11.0,11.0,3.0,5.99,12.97,18.96,38.64,10.11,0.9,14.31,1.11,6.87,0.95,10.14,1,55.0,52.5,10.0,7.5,6,1,U
2852,10/12/2013,10,H,V,BYU,0.6153846153846154,38,4.0,7.5,-305,Ind,67.0,8.0,5.0,5.85,4.38,10.23,35.75,18.72,-1.96,15.25,1.15,7.97,0.01,10.97,GeorgiaTech,0.5384615384615384,20,55.0,54.5,245,ACC ,67.0,7.0,6.0,2.01,5.19,7.21,39.02,19.61,-1.14,16.58,1.44,8.44,0.01,11.94,1,55.0,54.5,-4.0,-7.5,18,1,O
2853,10/12/2013,10,H,V,Purdue,0.08333333333333333,7,57.5,57.5,425,Big Ten ,67.0,1.0,11.0,-9.47,-2.96,-12.43,18.57,33.29,-2.51,16.47,-1.17,9.24,-0.97,12.01,Nebraska,0.6923076923076923,44,14.5,13.5,-550,Big Ten ,67.0,9.0,4.0,3.38,1.84,5.22,33.11,24.25,-2.44,15.68,0.87,8.24,-0.36,11.12,0,57.5,57.5,14.5,13.5,-37,0,U
2854,10/12/2013,10,H,V,Georgia,0.6153846153846154,26,11.0,6.5,-265,SEC ,67.0,8.0,5.0,13.03,-0.21,12.82,43.35,23.43,0.2,16.27,0.73,7.94,0.88,11.38,Missouri,0.8571428571428571,41,63.0,66.0,215,SEC ,5.0,12.0,2.0,11.89,8.08,19.97,42.89,16.88,-1.01,15.06,1.37,8.25,0.56,11.23,0,63.0,66.0,-11.0,-6.5,-15,0,O
2855,10/12/2013,10,H,V,KansasState,0.6153846153846154,25,72.0,73.5,565,Big 12,67.0,8.0,5.0,6.13,3.88,10.01,34.67,20.29,0.62,14.85,0.55,8.46,0.54,11.13,Baylor,0.8461538461538461,35,10.5,17.0,-740,Big 12,13.0,11.0,2.0,12.51,4.35,16.87,54.83,22.0,1.74,15.18,1.22,8.17,1.63,10.99,0,72.0,73.5,10.5,17.0,-10,1,U
2856,10/12/2013,10,H,V,LSU,0.7692307692307693,17,6.5,9.0,-365,SEC ,14.0,10.0,3.0,8.87,5.72,14.59,40.42,18.96,1.01,15.13,0.83,7.99,0.87,10.94,Florida,0.3333333333333333,6,47.5,49.0,295,SEC ,67.0,4.0,8.0,-4.77,9.44,4.67,23.51,14.17,-2.0,14.62,-0.35,7.67,-0.96,10.62,1,47.5,49.0,-6.5,-9.0,11,1,U
2857,10/12/2013,10,H,V,ArizonaState,0.7142857142857143,54,24.0,28.5,-6700,Pac-12 ,21.0,10.0,4.0,13.67,3.83,17.5,47.64,19.48,-0.3,15.34,0.8,8.0,0.58,10.97,Colorado,0.3333333333333333,13,66.0,68.5,3000,Pac-12 ,67.0,4.0,8.0,0.13,-2.12,-1.99,29.27,31.22,-1.55,16.21,-0.44,9.6,-0.43,12.2,1,66.0,68.5,-24.0,-28.5,41,1,U
2858,10/12/2013,10,H,V,WashingtonU,0.6923076923076923,24,76.0,75.5,365,Pac-12 ,25.0,9.0,4.0,6.41,8.71,15.12,42.01,15.19,-0.46,14.15,1.08,8.52,0.59,10.68,Oregon,0.8461538461538461,45,10.5,12.0,-465,Pac-12 ,9.0,11.0,2.0,12.56,8.7,21.27,50.03,15.36,1.0,14.16,1.95,8.32,1.73,10.51,0,76.0,75.5,10.5,12.0,-21,0,U
2859,10/12/2013,10,H,V,UCLA,0.7692307692307693,37,23.0,26.0,-3045,Pac-12 ,16.0,10.0,3.0,10.15,6.95,17.1,42.61,17.02,0.25,14.55,0.47,7.97,0.54,10.6,California,0.08333333333333333,10,71.0,73.0,1545,Pac-12 ,67.0,1.0,11.0,0.74,-9.32,-8.58,29.88,37.59,-1.89,17.18,-0.2,8.75,-0.27,12.36,1,71.0,73.0,-23.0,-26.0,27,1,U
2860,10/12/2013,10,H,V,Wisconsin,0.6923076923076923,35,9.5,11.0,-425,Big Ten ,22.0,9.0,4.0,2.69,11.51,14.2,37.02,13.47,-1.79,14.94,2.51,7.54,0.87,10.77,Northwestern,0.4166666666666667,6,57.0,58.0,335,Big Ten ,67.0,5.0,7.0,1.75,-0.55,1.2,28.96,25.37,-1.41,16.08,0.2,8.32,-0.29,11.56,1,57.0,58.0,-9.5,-11.0,29,1,U
2861,10/12/2013,10,H,V,Tulane,0.5384615384615384,36,54.5,53.0,390,CUSA ,67.0,7.0,6.0,-4.37,1.15,-3.22,22.54,25.74,-3.7,16.47,-0.78,8.06,-1.65,11.55,EastCarolina,0.7692307692307693,33,11.0,13.5,-515,CUSA ,67.0,10.0,3.0,7.16,-2.87,4.3,36.93,29.81,-1.83,16.0,-0.39,8.37,-0.3,11.55,1,54.5,53.0,11.0,13.5,3,1,O
2862,10/12/2013,10,H,V,Arkansas,0.25,7,51.0,49.5,175,SEC ,67.0,3.0,9.0,-3.16,1.84,-1.32,24.98,26.31,-2.96,16.32,1.44,8.93,-0.31,11.91,SouthCarolina,0.8461538461538461,52,7.0,5.0,-205,SEC ,4.0,11.0,2.0,7.99,8.07,16.06,40.3,15.99,0.0,15.48,0.72,8.48,0.54,11.3,0,51.0,49.5,7.0,5.0,-45,0,O
2863,10/12/2013,10,H,V,Kentucky,0.16666666666666666,7,54.0,51.5,1705,SEC ,67.0,2.0,10.0,-2.99,-0.52,-3.51,26.67,28.49,-1.69,17.02,0.24,9.41,-0.35,12.4,Alabama,0.8461538461538461,48,27.0,26.5,-4205,SEC ,7.0,11.0,2.0,5.72,14.35,20.06,42.0,10.79,0.06,15.21,1.61,7.4,1.2,10.7,0,54.0,51.5,27.0,26.5,-41,0,O
2865,10/12/2013,10,H,V,ArkansasState,0.6153846153846154,48,24.0,27.0,-3595,Sun Belt,67.0,8.0,5.0,-1.34,-0.53,-1.86,26.0,28.01,-3.2,16.53,-0.41,9.91,-1.44,12.53,Idaho,0.08333333333333333,24,61.0,62.0,1595,Ind,67.0,1.0,11.0,-9.43,-9.87,-19.3,16.97,45.64,-2.89,17.03,-1.14,10.22,-1.56,12.84,1,61.0,62.0,-24.0,-27.0,24,0,O
2866,10/12/2013,10,H,V,PennState,0.5833333333333334,43,49.0,51.5,105,Big Ten ,67.0,7.0,5.0,0.34,3.05,3.4,29.58,23.64,-1.45,15.48,-0.18,7.6,-0.42,10.93,Michigan,0.5384615384615384,40,1.0,1.5,-125,Big Ten ,67.0,7.0,6.0,5.97,-0.43,5.53,36.45,25.23,-0.19,15.55,-0.53,7.93,-0.13,11.16,1,49.0,51.5,1.0,1.5,3,1,O
2867,10/12/2013,10,H,V,NCState,0.25,10,4.5,7.0,-245,ACC ,67.0,3.0,9.0,-2.56,-3.1,-5.66,25.36,28.39,-2.25,15.89,-0.19,9.86,-0.75,12.16,Syracuse,0.5384615384615384,24,54.0,52.5,205,ACC ,67.0,7.0,6.0,-3.95,6.76,2.81,27.2,23.2,-3.41,15.9,0.87,8.46,-0.77,11.63,0,54.0,52.5,-4.5,-7.0,-14,0,U
2868,10/12/2013,10,H,V,HoustonU,0.6153846153846154,25,10.5,8.0,-315,American,67.0,8.0,5.0,2.5,2.43,4.93,34.61,23.29,-1.75,15.9,0.03,8.25,-0.14,11.36,Memphis,0.25,15,51.5,53.5,255,American,67.0,3.0,9.0,-7.99,0.58,-7.41,20.02,25.65,-3.43,16.03,-0.26,7.98,-1.32,11.42,1,51.5,53.5,-10.5,-8.0,10,1,U
2869,10/12/2013,10,H,V,FloridaIntl,0.08333333333333333,24,53.0,52.5,205,CUSA ,67.0,1.0,11.0,-19.13,-4.4,-23.53,5.97,39.64,-4.0,17.49,-2.32,9.95,-2.79,12.84,UAB,0.16666666666666666,27,6.0,6.0,-245,CUSA ,67.0,2.0,10.0,-1.77,-14.05,-15.82,23.6,45.68,-1.99,19.24,0.32,10.77,-0.36,14.04,0,53.0,52.5,6.0,6.0,-3,1,U
2870,10/12/2013,10,H,V,FloridaAtlantic,0.5,23,53.0,56.5,305,CUSA ,67.0,6.0,6.0,-6.44,2.91,-3.53,22.29,24.3,-2.61,14.88,-0.4,9.23,-1.01,11.34,Marshall,0.7142857142857143,24,13.0,9.5,-385,CUSA ,67.0,10.0,4.0,5.77,-2.69,3.07,38.13,29.47,-1.47,16.27,0.64,9.08,0.2,11.84,0,53.0,56.5,13.0,9.5,-1,1,U
2871,10/12/2013,10,H,V,TCU,0.3333333333333333,27,24.0,24.0,-2845,Big 12,67.0,4.0,8.0,-0.67,2.61,1.94,27.73,20.24,-1.95,14.81,-0.51,7.58,-0.64,10.57,Kansas,0.25,17,44.0,45.5,1345,Big 12,67.0,3.0,9.0,-10.02,1.44,-8.58,17.88,28.12,-3.29,15.8,-0.4,9.11,-1.41,11.82,1,44.0,45.5,-24.0,-24.0,10,0,U
2872,10/12/2013,10,H,V,NorthTexas,0.6923076923076923,34,4.5,6.5,-250,CUSA ,67.0,9.0,4.0,-2.5,5.55,3.05,26.99,22.0,-1.99,16.14,-0.27,8.41,-0.68,11.62,MiddleTennSt,0.6153846153846154,7,55.5,54.0,210,CUSA ,67.0,8.0,5.0,-0.97,-2.74,-3.71,25.9,29.57,-3.27,16.26,0.46,9.38,-0.79,11.95,1,55.5,54.0,-4.5,-6.5,27,1,U
2873,10/12/2013,10,H,V,TexasState,0.5,14,7.0,6.0,-235,Sun Belt,67.0,6.0,6.0,-7.36,-3.17,-10.53,17.0,31.36,-3.86,16.27,-0.48,9.51,-1.68,12.2,ULMonroe,0.5,21,45.0,44.5,200,Sun Belt,67.0,6.0,6.0,-6.34,-0.47,-6.81,21.04,31.38,-3.58,16.29,-1.14,9.9,-1.57,12.45,0,45.0,44.5,-7.0,-6.0,-7,0,U
2874,10/12/2013,10,H,V,UtahState,0.6428571428571429,23,51.5,50.5,180,MWC ,67.0,9.0,5.0,-4.34,11.04,6.7,28.9,14.55,-2.9,15.59,-0.01,6.86,-0.88,10.49,BoiseState,0.6153846153846154,34,7.5,5.0,-210,MWC ,67.0,8.0,5.0,2.27,1.62,3.88,34.89,24.06,-1.62,16.27,0.43,8.11,-0.04,11.33,0,51.5,50.5,7.5,5.0,-11,0,O
2876,10/12/2013,10,H,V,UTEP,0.16666666666666666,20,60.0,65.0,310,CUSA ,67.0,2.0,10.0,-8.65,-9.52,-18.17,17.85,43.0,-2.69,19.23,-0.41,10.56,-1.3,13.77,Tulsa,0.25,34,10.0,10.0,-390,CUSA ,67.0,3.0,9.0,-5.83,-5.94,-11.77,21.24,34.28,-3.69,15.84,-0.1,8.99,-1.32,11.68,0,60.0,65.0,10.0,10.0,-14,0,U
2877,10/12/2013,10,H,V,UNLV,0.5384615384615384,39,6.5,7.5,-310,MWC ,67.0,7.0,6.0,0.73,-4.63,-3.9,27.74,32.84,-3.01,15.93,-0.01,9.54,-0.82,12.02,Hawaii,0.08333333333333333,37,53.5,58.0,250,MWC ,67.0,1.0,11.0,-0.88,-10.25,-11.13,27.54,36.86,-2.0,17.13,-1.1,8.51,-0.72,11.76,1,53.5,58.0,-6.5,-7.5,2,0,O
2879,10/15/2013,10,H,V,WesternKentucky,0.6666666666666666,20,4.5,3.0,-170,Sun Belt,67.0,8.0,4.0,-0.01,-0.51,-0.52,27.46,28.51,-2.33,16.73,-0.1,9.0,-0.62,12.03,ULLafayette,0.6923076923076923,37,62.5,61.5,145,Sun Belt,67.0,9.0,4.0,1.86,-3.87,-2.01,30.02,31.79,-0.84,17.74,-0.21,9.2,-0.5,12.73,0,62.5,61.5,-4.5,-3.0,-17,0,U
2880,10/17/2013,10,H,V,NorthCarolina,0.5384615384615384,23,63.0,66.0,295,ACC ,67.0,7.0,6.0,3.53,2.69,6.22,35.74,21.73,-1.47,15.71,-0.36,8.44,-0.37,11.3,MiamiFlorida,0.6923076923076923,27,8.0,9.0,-360,ACC ,67.0,9.0,4.0,8.33,-1.74,6.59,40.42,25.97,0.3,16.58,0.93,9.11,1.11,12.15,0,63.0,66.0,8.0,9.0,-4,1,U
2881,10/18/2013,10,H,V,Louisville,0.9230769230769231,35,10.5,14.5,-650,American,15.0,12.0,1.0,-0.18,10.18,9.99,33.67,15.75,-0.22,15.01,0.18,7.55,0.5,10.63,CentralFlorida,0.9230769230769231,38,53.0,55.5,485,American,10.0,12.0,1.0,6.19,2.24,8.42,35.82,22.78,0.26,15.35,0.61,8.77,0.81,11.52,0,53.0,55.5,-10.5,-14.5,-3,0,O
2882,10/19/2013,10,H,V,Virginia,0.16666666666666666,22,3.0,2.5,-140,ACC ,67.0,2.0,10.0,-6.11,1.17,-4.94,24.96,27.01,-3.91,15.94,-0.22,8.82,-1.43,11.66,Duke,0.7142857142857143,35,51.0,53.0,120,ACC ,23.0,10.0,4.0,6.8,1.06,7.86,36.28,23.29,-1.6,16.51,0.61,8.89,0.0,11.91,0,51.0,53.0,-3.0,-2.5,-13,0,O
2883,10/19/2013,10,H,V,Temple,0.16666666666666666,33,3.0,60.5,-110,American,67.0,2.0,10.0,-2.73,-7.57,-10.3,24.22,31.88,-1.78,17.3,0.28,9.36,-0.13,12.6,Army,0.25,14,56.5,1.0,-110,Ind,67.0,3.0,9.0,-5.22,-7.13,-12.36,21.52,34.67,-4.1,18.68,1.03,9.81,-0.94,13.04,1,56.5,60.5,-3.0,-1.0,19,1,U
2884,10/19/2013,10,H,V,EasternMichigan,0.16666666666666666,28,57.5,55.0,445,MAC ,67.0,2.0,10.0,-10.15,-12.69,-22.84,15.47,48.03,-3.34,19.66,-0.13,11.06,-1.2,14.23,Ohio,0.5384615384615384,56,17.0,13.5,-570,MAC ,67.0,7.0,6.0,-3.05,-2.72,-5.77,24.64,33.16,-2.48,16.89,-0.97,9.69,-1.07,12.48,0,57.5,55.0,17.0,13.5,-28,0,O
2885,10/19/2013,10,H,V,WesternMichigan,0.08333333333333333,17,58.5,58.5,830,MAC ,67.0,1.0,11.0,-10.43,-8.73,-19.16,14.92,39.41,-4.09,15.04,-1.38,10.33,-1.95,12.12,BallState,0.7692307692307693,38,21.0,19.0,-1330,MAC ,67.0,10.0,3.0,6.64,-4.35,2.29,33.32,32.03,-1.6,16.61,-0.15,9.68,-0.03,12.41,0,58.5,58.5,21.0,19.0,-21,0,U
2886,10/19/2013,10,H,V,CentralMichigan,0.5,17,61.5,59.0,480,MAC ,67.0,6.0,6.0,-9.23,-2.74,-11.97,16.72,33.65,-2.78,16.9,-1.09,9.99,-1.4,12.53,NoIllinois,0.8571428571428571,38,18.5,14.5,-630,MAC ,67.0,12.0,2.0,8.19,-4.63,3.56,35.59,32.19,-2.11,16.69,1.59,8.83,0.31,12.02,0,61.5,59.0,18.5,14.5,-21,0,U
2887,10/19/2013,10,H,V,MichiganState,0.9285714285714286,14,24.5,28.0,-4255,Big Ten ,3.0,13.0,1.0,1.23,13.51,14.74,31.12,12.04,-1.86,13.89,0.22,7.16,-0.45,10.02,Purdue,0.08333333333333333,0,42.5,44.5,2645,Big Ten ,67.0,1.0,11.0,-9.47,-2.96,-12.43,18.57,33.29,-2.51,16.47,-1.17,9.24,-0.97,12.01,1,42.5,44.5,-24.5,-28.0,14,0,U
2888,10/19/2013,10,H,V,EastCarolina,0.7692307692307693,55,22.0,24.0,-2170,CUSA ,67.0,10.0,3.0,7.16,-2.87,4.3,36.93,29.81,-1.83,16.0,-0.39,8.37,-0.3,11.55,SouthernMiss,0.08333333333333333,14,52.5,55.0,1170,CUSA ,67.0,1.0,11.0,-12.24,-8.89,-21.13,15.45,44.99,-3.05,17.65,-1.72,9.11,-1.42,12.33,1,52.5,55.0,-22.0,-24.0,41,1,O
2889,10/19/2013,10,H,V,Clemson,0.8461538461538461,14,63.0,63.5,165,ACC ,8.0,11.0,2.0,9.21,5.77,14.98,43.55,18.59,-0.12,15.85,0.44,8.29,0.6,11.4,FloridaState,1.0,51,3.0,4.5,-190,ACC ,1.0,14.0,0.0,8.57,14.79,23.36,53.97,11.05,1.07,13.96,1.33,7.71,1.64,10.23,0,63.0,63.5,3.0,4.5,-37,0,O
2890,10/19/2013,10,H,V,WakeForest,0.3333333333333333,34,52.0,52.5,175,ACC ,67.0,4.0,8.0,-7.1,7.1,0.0,20.65,20.94,-3.56,15.36,-1.34,7.99,-1.74,11.03,Maryland,0.5384615384615384,10,6.5,4.5,-205,ACC ,67.0,7.0,6.0,-0.79,1.43,0.64,28.22,25.7,-1.29,16.17,-0.19,8.41,-0.24,11.51,1,52.0,52.5,6.5,4.5,24,1,U
2891,10/19/2013,10,H,V,WestVirginia,0.3333333333333333,27,56.5,57.5,170,Big 12,67.0,4.0,8.0,0.29,-4.02,-3.74,28.72,30.42,-1.76,16.36,0.21,9.07,-0.13,11.93,TexasTech,0.6153846153846154,37,9.5,4.0,-200,Big 12,67.0,8.0,5.0,7.13,-1.81,5.32,38.47,27.07,-1.43,14.95,-0.52,9.14,0.04,11.36,0,56.5,57.5,9.5,4.0,-10,0,O
2892,10/19/2013,10,H,V,Northwestern,0.4166666666666667,17,12.5,12.5,-535,Big Ten ,67.0,5.0,7.0,1.75,-0.55,1.2,28.96,25.37,-1.41,16.08,0.2,8.32,-0.29,11.56,MinnesotaU,0.6153846153846154,20,54.0,52.0,410,Big Ten ,67.0,8.0,5.0,-0.07,5.34,5.27,26.86,20.6,-1.67,15.76,0.39,8.97,-0.61,11.73,0,54.0,52.0,-12.5,-12.5,-3,0,U
2893,10/19/2013,10,H,V,Toledo,0.5833333333333334,45,6.5,9.5,-370,MAC ,67.0,7.0,5.0,4.76,-4.79,-0.03,31.32,31.71,-2.44,17.95,1.43,8.82,0.07,12.32,Navy,0.6923076923076923,44,55.0,55.0,300,Ind,67.0,9.0,4.0,1.23,3.03,4.26,30.57,23.94,-3.1,16.21,1.07,8.89,-0.7,11.73,1,55.0,55.0,-6.5,-9.5,1,0,O
2894,10/19/2013,10,H,V,CincinnatiU,0.6923076923076923,41,16.0,14.5,-620,American,67.0,9.0,4.0,-0.68,1.09,0.41,30.52,25.25,-1.15,15.75,-0.01,8.34,-0.03,11.37,Connecticut,0.25,16,45.0,45.5,470,American,67.0,3.0,9.0,-7.66,-4.31,-11.97,21.11,31.93,-2.69,16.18,-1.14,8.51,-1.23,11.68,1,45.0,45.5,-16.0,-14.5,25,1,O
2895,10/19/2013,10,H,V,Memphis,0.25,29,2.5,3.0,-155,American,67.0,3.0,9.0,-7.99,0.58,-7.41,20.02,25.65,-3.43,16.03,-0.26,7.98,-1.32,11.42,SMU,0.4166666666666667,34,47.0,48.0,135,American,67.0,5.0,7.0,-0.67,-6.77,-7.44,27.08,33.45,-2.23,16.19,-0.56,8.6,-0.34,11.72,0,47.0,48.0,-2.5,-3.0,-5,0,O
2896,10/19/2013,10,H,V,Wyoming,0.4166666666666667,22,6.5,7.0,-290,MWC ,67.0,5.0,7.0,-1.42,-7.95,-9.36,26.45,37.36,-2.38,17.6,1.04,9.23,0.08,12.36,ColoradoState,0.5714285714285714,52,68.5,66.5,240,MWC ,67.0,8.0,6.0,4.61,-4.84,-0.23,32.68,30.23,-2.04,16.88,0.59,8.14,-0.09,11.83,0,68.5,66.5,-6.5,-7.0,-30,0,O
2897,10/19/2013,10,H,V,TexasA&M,0.6923076923076923,41,14.0,13.0,-525,SEC ,18.0,9.0,4.0,16.81,-3.43,13.38,48.38,28.34,0.5,15.94,1.23,9.42,1.46,12.13,Auburn,0.8571428571428571,45,72.5,72.5,400,SEC ,2.0,12.0,2.0,13.6,5.21,18.8,45.72,17.95,0.09,15.66,2.07,8.74,1.03,11.64,0,72.5,72.5,-14.0,-13.0,-4,0,O
2898,10/19/2013,10,H,V,Oregon,0.8461538461538461,62,37.5,40.0,-60750,Pac-12 ,9.0,11.0,2.0,12.56,8.7,21.27,50.03,15.36,1.0,14.16,1.95,8.32,1.73,10.51,WashingtonState,0.46153846153846156,38,71.0,71.5,29250,Pac-12 ,67.0,6.0,7.0,4.54,0.55,5.09,35.55,25.03,-2.11,15.86,-0.96,8.63,-0.15,11.59,1,71.0,71.5,-37.5,-40.0,24,0,O
2899,10/19/2013,10,H,V,Michigan,0.5384615384615384,63,12.0,8.5,-360,Big Ten ,67.0,7.0,6.0,5.97,-0.43,5.53,36.45,25.23,-0.19,15.55,-0.53,7.93,-0.13,11.16,Indiana,0.4166666666666667,47,66.5,67.0,290,Big Ten ,67.0,5.0,7.0,13.42,-9.01,4.41,43.13,35.61,-0.93,17.31,1.49,9.68,0.85,12.81,1,66.5,67.0,-12.0,-8.5,16,1,O
2900,10/19/2013,10,H,V,GeorgiaTech,0.5384615384615384,56,7.0,7.5,-325,ACC ,67.0,7.0,6.0,2.01,5.19,7.21,39.02,19.61,-1.14,16.58,1.44,8.44,0.01,11.94,Syracuse,0.5384615384615384,0,54.0,54.0,265,ACC ,67.0,7.0,6.0,-3.95,6.76,2.81,27.2,23.2,-3.41,15.9,0.87,8.46,-0.77,11.63,1,54.0,54.0,-7.0,-7.5,56,1,O
2901,10/19/2013,10,H,V,California,0.08333333333333333,17,71.0,71.0,360,Pac-12 ,67.0,1.0,11.0,0.74,-9.32,-8.58,29.88,37.59,-1.89,17.18,-0.2,8.75,-0.27,12.36,OregonState,0.5384615384615384,49,11.0,11.5,-450,Pac-12 ,67.0,7.0,6.0,9.08,-0.97,8.11,38.54,25.35,-0.79,14.93,-0.23,9.53,0.65,11.58,0,71.0,71.0,11.0,11.5,-32,0,U
2902,10/19/2013,10,H,V,OhioState,0.8571428571428571,34,17.0,18.5,-1215,Big Ten ,12.0,12.0,2.0,10.77,4.87,15.65,47.17,20.57,-0.94,15.81,2.94,7.79,1.38,11.36,Iowa,0.6153846153846154,24,55.0,54.5,865,Big Ten ,67.0,8.0,5.0,-0.9,8.22,7.31,28.67,16.91,-1.64,14.67,0.26,7.78,-0.43,10.6,1,55.0,54.5,-17.0,-18.5,10,0,O
2903,10/19/2013,10,H,V,Alabama,0.8461538461538461,52,28.0,29.5,-6310,SEC ,7.0,11.0,2.0,5.72,14.35,20.06,42.0,10.79,0.06,15.21,1.61,7.4,1.2,10.7,Arkansas,0.25,0,49.0,48.0,2810,SEC ,67.0,3.0,9.0,-3.16,1.84,-1.32,24.98,26.31,-2.96,16.32,1.44,8.93,-0.31,11.91,1,49.0,48.0,-28.0,-29.5,52,1,O
2904,10/19/2013,10,H,V,TennesseeU,0.4166666666666667,23,54.0,55.0,260,SEC ,67.0,5.0,7.0,-0.71,5.0,4.29,30.19,22.57,-2.89,15.33,0.97,9.48,-0.48,11.83,SouthCarolina,0.8461538461538461,21,7.0,8.0,-320,SEC ,4.0,11.0,2.0,7.99,8.07,16.06,40.3,15.99,0.0,15.48,0.72,8.48,0.54,11.3,1,54.0,55.0,7.0,8.0,2,1,U
2905,10/19/2013,10,H,V,ArizonaState,0.7142857142857143,53,3.0,3.5,-165,Pac-12 ,21.0,10.0,4.0,13.67,3.83,17.5,47.64,19.48,-0.3,15.34,0.8,8.0,0.58,10.97,WashingtonU,0.6923076923076923,24,66.0,67.5,145,Pac-12 ,25.0,9.0,4.0,6.41,8.71,15.12,42.01,15.19,-0.46,14.15,1.08,8.52,0.59,10.68,1,66.0,67.5,-3.0,-3.5,29,1,O
2906,10/19/2013,10,H,V,LouisianaTech,0.3333333333333333,13,55.0,52.5,155,CUSA ,67.0,4.0,8.0,-9.93,-5.74,-15.66,14.63,34.44,-4.17,17.2,0.02,9.28,-1.34,12.28,NorthTexas,0.6923076923076923,28,4.5,3.5,-175,CUSA ,67.0,9.0,4.0,-2.5,5.55,3.05,26.99,22.0,-1.99,16.14,-0.27,8.41,-0.68,11.62,0,55.0,52.5,4.5,3.5,-15,0,U
2907,10/19/2013,10,H,V,SouthAlabama,0.5,38,6.0,7.5,-285,Sun Belt,67.0,6.0,6.0,1.28,-3.72,-2.44,26.76,29.64,-1.8,17.29,-0.45,9.38,-0.64,12.61,KentState,0.3333333333333333,21,56.0,55.0,235,MAC ,67.0,4.0,8.0,-8.05,-1.55,-9.6,18.45,30.03,-3.09,17.0,0.86,10.09,-0.54,12.66,1,56.0,55.0,-6.0,-7.5,17,1,O
2908,10/19/2013,10,H,V,NewMexico,0.25,10,52.0,51.0,430,MWC ,67.0,3.0,9.0,0.33,-14.44,-14.1,29.47,43.82,-1.86,18.38,1.97,10.5,0.31,13.46,UtahState,0.6428571428571429,45,10.0,14.0,-555,MWC ,67.0,9.0,5.0,-4.34,11.04,6.7,28.9,14.55,-2.9,15.59,-0.01,6.86,-0.88,10.49,0,52.0,51.0,10.0,14.0,-35,0,O
2910,10/19/2013,10,H,V,Mississippi,0.6153846153846154,27,60.0,60.0,305,SEC ,67.0,8.0,5.0,4.24,6.19,10.42,33.55,17.66,-1.34,15.19,0.6,8.08,0.11,11.04,LSU,0.7692307692307693,24,9.5,9.5,-385,SEC ,14.0,10.0,3.0,8.87,5.72,14.59,40.42,18.96,1.01,15.13,0.83,7.99,0.87,10.94,1,60.0,60.0,9.5,9.5,3,1,U
2911,10/19/2013,10,H,V,HoustonU,0.6153846153846154,46,64.0,64.5,305,American,67.0,8.0,5.0,2.5,2.43,4.93,34.61,23.29,-1.75,15.9,0.03,8.25,-0.14,11.36,BYU,0.6153846153846154,47,10.0,10.0,-385,Ind,67.0,8.0,5.0,5.85,4.38,10.23,35.75,18.72,-1.96,15.25,1.15,7.97,0.01,10.97,0,64.0,64.5,10.0,10.0,-1,1,O
2912,10/19/2013,10,H,V,BuffaloU,0.6153846153846154,32,20.5,20.0,-1175,MAC ,67.0,8.0,5.0,-1.75,0.27,-1.48,26.1,28.32,-2.3,16.99,-0.52,9.06,-0.97,12.16,Massachusetts,0.08333333333333333,3,47.0,46.5,825,MAC ,67.0,1.0,11.0,-15.27,-5.13,-20.4,10.56,36.86,-3.59,18.22,-1.02,10.68,-1.89,13.47,1,47.0,46.5,-20.5,-20.0,29,1,U
2913,10/19/2013,10,H,V,TexasState,0.5,24,19.0,16.5,-670,Sun Belt,67.0,6.0,6.0,-7.36,-3.17,-10.53,17.0,31.36,-3.86,16.27,-0.48,9.51,-1.68,12.2,GeorgiaState,0.0,17,52.0,49.5,520,Sun Belt,67.0,0.0,12.0,-9.64,-10.56,-20.2,15.18,39.91,-3.01,18.1,-0.75,10.32,-1.17,13.29,1,52.0,49.5,-19.0,-16.5,7,0,U
